100,Fletcher,Shelley,   (309)664-6445,   3946  Glen Falls Road,Schamburg,62875,Fletcherceo@gmail.com,12/6/2017
99,Finley,Pakor,(443)266-3098,4257 Ballard Ave,Chicago,60325,Fin@yahoo.com,6/4/2018
98,Jackson,Ville,(325)660-9422,5877 Oak leave Ave,Skokie,62145,Jville@yahoo.co.in,12/14/2016
97,Kyle,Jenner,(475)282-7034,2354 Sunset Ave,Palatine,62614,KylieOfficial@gmail.com,2/4/2018
96,Lawrence,patoski,(352)615-3738,256 Hamilton Road,Rolling Meadows,63210,Law@neiu.edu,1/1/2017
95,Abdul,Rahman,(620)278-8438,1245 Lauren Lane,Chicago,63612,Abd@neiu.edu,5/23/2016
94,Drew,Macintrye,(270)932-4331,9854 Jackson street,Evanston,62975,Drew@gmail.com,4/25/2016
93,Andy,Phelekwayo,(414)390-6758,145 Victoria Court,Niles,60214,And@neiu.edu,12/4/2016
92,Rebecca,Anderson,(406)258-1069,7845 Summer street,Evanston,66575,Rebecca@gmail.com,1/6/2016
91,Kabir,Mohammed,(209)363-8991,254 Georgia Ave,Evanston,60075,KabirM23@yahoo.com,3/12/2017
90,Harry,Trueman, (636)464-3771,4578 Hictory Lane,Chicago,62365,HStrueman@gmail.com,9/1/2018
89,Sameer,Syed,(605)867-4701,541 Grove street,Skokie,62655,Sameer@gmail.com,1/1/2018
88,Winston,Shelley,(339)793-4274,145 Victoria Court,Niles,60214,Win234@student.ccc.edu,3/21/2017
87,Christina,Velasquez,(256)871-2770,4257 Ballard Ave,Chicago,60325,Chr@neiu.edu,6/15/2018
